,yield,yield_unit,brand,crop,state,county,latitude,longitude,plantdate,harvestdate,test_avg_yield,test_avg_yield_unit,irrigated_status,soil_class,country,Location
0,188.5,bu/ac,CHAMPION,corn,IA,Buena Vista,42.6705452,-95.1432068,5/8/14,11/6/14,191.6,bu/ac,False,SILTY CLAY LOAM,US,"Buena Vista,IA,US"
1,231.2,bu/ac,AGRIGOLD,corn,IL,Bureau,41.2891317,-89.3669118,5/8/13,10/8/13,221.4,bu/ac,False,SILT LOAM,US,"Bureau,IL,US"
2,240.4,bu/ac,AGRIGOLD,corn,WI,Columbia,43.35906,-89.25411,5/16/13,10/23/13,242.7,bu/ac,False,SILT LOAM,US,"Columbia,WI,US"
3,176.5,bu/ac,AGRIGOLD,corn,KS,Douglas,37.5194642,-97.01281469999999,4/18/14,10/6/14,154.8,bu/ac,False,SILTY CLAY LOAM,US,"Douglas,KS,US"
4,249.6,bu/ac,AGVENTURE,corn,SD,Brown,45.45808,-98.32342,5/9/13,10/27/13,250.6,bu/ac,False,SILT LOAM,US,"Brown,SD,US"
5,233.5,bu/ac,AGRIGOLD,corn,IL,St. Clair,38.52331,-89.872255,5/26/13,11/10/13,230.9,bu/ac,False,SILT LOAM,US,"St. Clair,IL,US"
6,238.1,bu/ac,ARMOR,corn,DE,Sussex,38.70739,-75.62073,5/9/14,10/7/14,236.0,bu/ac,True,SANDY LOAM,US,"Sussex,DE,US"
7,183.4,bu/ac,CHAMPION,corn,IA,Hancock,43.05289,-93.9301,5/7/14,10/17/14,174.4,bu/ac,False,CLAY LOAM,US,"Hancock,IA,US"
8,190.8,bu/ac,AGRIGOLD,corn,KS,Miami,38.74266,-94.66673,5/17/13,11/12/13,185.6,bu/ac,False,SILT LOAM,US,"Miami,KS,US"
9,156.3,bu/ac,AUGUSTA,corn,NE,Otoe,40.54608,-96.27349,5/14/13,10/10/13,152.7,bu/ac,False,SILTY CLAY,US,"Otoe,NE,US"
10,207.0,bu/ac,BUCKEYE,corn,OH,Marion,40.636,-83.0025,6/7/14,11/14/14,211.4,bu/ac,False,SILT LOAM,US,"Marion,OH,US"
14,203.4,bu/ac,CHANNEL,corn,MN,Goodhue,44.38823,-92.85027,5/18/14,10/22/14,186.6,bu/ac,False,SILTY CLAY LOAM,US,"Goodhue,MN,US"
15,169.0,bu/ac,AGRIGOLD,corn,IA,Delaware,42.36139,-91.48556,5/20/13,11/15/13,166.0,bu/ac,False,,US,"Delaware,IA,US"
16,272.8,bu/ac,AUGUSTA,corn,VA,Charles City,37.34389060000001,-77.071268,5/13/14,10/10/14,257.1,bu/ac,True,SANDY LOAM,US,"Charles City,VA,US"
17,160.1,bu/ac,CHANNEL,corn,MI,Eaton,42.4847,-84.8181,5/29/14,11/20/14,162.0,bu/ac,False,CLAY LOAM,US,"Eaton,MI,US"
18,209.9,bu/ac,CHANNEL,corn,MI,Eaton,42.4847,-84.8181,6/1/14,12/3/14,210.7,bu/ac,False,SANDY CLAY LOAM,US,"Eaton,MI,US"
19,185.7,bu/ac,AUGUSTA,corn,MD,Kent,39.257726,-76.137134,5/22/12,10/6/12,176.3,bu/ac,False,SANDY LOAM,US,"Kent,MD,US"
20,237.3,bu/ac,AGRIGOLD,corn,IL,Adams,40.0246,-90.9721,5/8/14,10/31/14,224.5,bu/ac,False,SILTY CLAY LOAM,US,"Adams,IL,US"
21,196.2,bu/ac,AUGUSTA,corn,IA,Taylor,40.7403,-94.48041,5/12/13,11/3/13,197.7,bu/ac,False,SILTY CLAY LOAM,US,"Taylor,IA,US"
22,224.9,bu/ac,SEED CONSULTANTS,corn,IN,Bartholomew,39.15481,-85.85744,5/18/13,10/26/13,251.3,bu/ac,False,CLAY LOAM,US,"Bartholomew,IN,US"
23,207.9,bu/ac,AGRIGOLD,corn,NE,Dodge,41.743717,-96.852601,5/7/14,10/24/14,206.5,bu/ac,False,SILTY CLAY LOAM,US,"Dodge,NE,US"
24,221.8,bu/ac,AGRIGOLD,corn,NE,Dodge,41.743717,-96.852601,5/7/14,10/24/14,206.5,bu/ac,False,SILTY CLAY LOAM,US,"Dodge,NE,US"
25,224.7,bu/ac,CHAMPION,corn,IA,Harrison,41.78386,-95.67249,6/3/13,11/19/13,210.3,bu/ac,False,SILT LOAM,US,"Harrison,IA,US"
26,262.6,bu/ac,CHEMGRO,corn,PA,Chester,40.136947,-75.8221,5/2/13,10/17/13,237.3,bu/ac,False,SILT LOAM,US,"Chester,PA,US"
27,233.2,bu/ac,AUGUSTA,corn,MO,Jefferson,38.5892299,-92.2630393,5/6/14,10/30/14,229.5,bu/ac,False,SILTY CLAY LOAM,US,"Jefferson,MO,US"
28,57.7,bu/ac,AUGUSTA,corn,IL,Wayne,38.540765,-88.468526,5/12/12,9/15/12,41.0,bu/ac,False,SILTY CLAY LOAM,US,"Wayne,IL,US"
29,162.0,bu/ac,AGRIGOLD,corn,IL,Wayne,38.5899,-88.47075,5/20/13,10/7/13,169.5,bu/ac,False,SILTY CLAY LOAM,US,"Wayne,IL,US"
30,191.8,bu/ac,CHANNEL,corn,IN,Warrick,38.17679,-87.16557,4/21/12,9/21/12,162.8,bu/ac,False,SILTY CLAY LOAM,US,"Warrick,IN,US"
31,265.0,bu/ac,AGRIGOLD,corn,IL,Macon,39.9484,-88.9739,4/26/14,10/17/14,253.5,bu/ac,False,SILTY CLAY LOAM,US,"Macon,IL,US"
32,214.1,bu/ac,CHANNEL,corn,IL,Henry,41.60629,-90.0636,5/10/14,11/5/14,213.9,bu/ac,False,SILT LOAM,US,"Henry,IL,US"
33,221.2,bu/ac,AUGUSTA,corn,MO,Nodaway,40.21772,-94.90215,5/5/14,11/7/14,218.8,bu/ac,False,SILTY CLAY LOAM,US,"Nodaway,MO,US"
34,141.0,bu/ac,AUGUSTA,corn,IN,Bartholomew,39.21041,-85.74065,5/15/12,10/27/12,122.0,bu/ac,False,CLAY LOAM,US,"Bartholomew,IN,US"
35,201.6,bu/ac,ANDERSON,corn,MN,Chippewa,44.862206,-95.538805,5/1/12,10/3/12,193.3,bu/ac,False,CLAY LOAM,US,"Chippewa,MN,US"
36,206.6,bu/ac,CURRY,corn,IA,Butler,42.821336,-92.725433,5/16/13,10/31/13,217.7,bu/ac,False,SILT LOAM,US,"Butler,IA,US"
37,221.8,bu/ac,ARMOR,corn,IN,Decatur,39.32229,-85.631667,5/28/14,10/24/14,220.1,bu/ac,False,CLAY LOAM,US,"Decatur,IN,US"
38,116.3,bu/ac,AUGUSTA,corn,MO,Schuyler,40.41344,-92.68069,5/15/13,10/16/13,120.6,bu/ac,False,SILT LOAM,US,"Schuyler,MO,US"
39,209.8,bu/ac,AUGUSTA,corn,IL,Bond,38.8577,-89.3819,5/9/14,11/3/14,214.6,bu/ac,False,SILT LOAM,US,"Bond,IL,US"
41,46.6,bu/ac,AUGUSTA,corn,PA,Adams,39.81815,-77.01816,5/10/11,10/25/11,33.9,bu/ac,False,SILTY CLAY LOAM,US,"Adams,PA,US"
42,241.1,bu/ac,CHANNEL,corn,MI,Van Buren,42.21331,-86.21134,5/8/13,11/21/13,231.3,bu/ac,False,SANDY CLAY LOAM,US,"Van Buren,MI,US"
43,154.6,bu/ac,AGVENTURE,corn,MN,Clay,46.83295,-96.36228,5/23/14,11/6/14,151.7,bu/ac,False,LOAM,US,"Clay,MN,US"
44,210.2,bu/ac,AGRIGOLD,corn,KS,Brown,39.89193,-95.50574,5/4/14,11/10/14,208.3,bu/ac,False,SILTY CLAY LOAM,US,"Brown,KS,US"
45,249.4,bu/ac,AUGUSTA,corn,MO,Nodaway,40.49659,-94.82188,5/5/14,11/4/14,250.1,bu/ac,False,SILTY CLAY LOAM,US,"Nodaway,MO,US"
46,182.0,bu/ac,CHANNEL,corn,MN,Cottonwood,44.07888,-95.199126,6/2/13,10/19/13,172.8,bu/ac,False,CLAY LOAM,US,"Cottonwood,MN,US"
